name;fullname;image_url_fr_internet;image_url_fr_server;date_of_birth;place_of_birth;nationality;appointed;contract_until;team_id
Mikel Arteta;Mikel Arteta Amatriain;https://s.hs-data.com/bilder/spieler/gross/14086.jpg;base_url/resources/images/coaches_pict/premier_league/mikel-arteta.webp;1982-03-26;Donostia-San Sebastián, Spain;Spain;2019-12-22;2023-06-30;1
Dean Smith;Dean Smith;https://s.hs-data.com/bilder/spieler/gross/38084.jpg;base_url/resources/images/coaches_pict/premier_league/dean-smith.webp;1971-03-19;West Bromwich, England;England;2018-10-10;2023-06-30;2
Graham Potter;Graham Stephen Potter;https://s.hs-data.com/bilder/spieler/gross/40461.jpg;base_url/resources/images/coaches_pict/premier_league/graham-potter.webp;1975-05-20;Solihull, England;England;2019-05-20;2025-06-30;3
Sean Dyche;Sean Mark Dyche;https://s.hs-data.com/bilder/spieler/gross/28543.jpg;base_url/resources/images/coaches_pict/premier_league/sean-dyche.webp;1971-06-28;Kettering, England;England;2012-10-30;2022-06-30;4
Frank Lampard;Frank James Lampard;https://s.hs-data.com/bilder/spieler/gross/8351.jpg;base_url/resources/images/coaches_pict/premier_league/frank-lampard.webp;1978-06-20;Romford, London, England;England;2019-07-04;2022-06-30;5
Roy Hodgson;Roy Hodgson;https://s.hs-data.com/bilder/spieler/gross/28476.jpg;base_url/resources/images/coaches_pict/premier_league/roy-hodgson.webp;1947-08-09;Croydon, England;England;2017-09-12;2021-06-30;6
Carlo Ancelotti;Carlo Ancelotti;https://s.hs-data.com/bilder/spieler/gross/4271.jpg;base_url/resources/images/coaches_pict/premier_league/carlo-ancelotti.webp;1959-06-10;Reggiolo, Italy;Italy;2019-12-22;2024-06-30;7
Scott Parker;Scott Matthew Parker;https://s.hs-data.com/bilder/spieler/gross/10060.jpg;base_url/resources/images/coaches_pict/premier_league/scott-parker.webp;1980-10-13;Lambeth, England;England;2019-02-28;2023-06-30;8
Marcelo Bielsa;Marcelo Alberto Bielsa Caldera;https://s.hs-data.com/bilder/spieler/gross/13427.jpg;base_url/resources/images/coaches_pict/premier_league/marcelo-bielsa.webp;1955-07-21;Rosario, Argentina;Argentina;2018-07-01;2021-06-30;9
Brendan Rodgers;Brendan Rodgers;https://d3vlf99qeg6bpx.cloudfront.net/content/uploads/2019/12/02072616/Brendan.Rodgers.jpg;base_url/resources/images/coaches_pict/premier_league/brendan-rogers.webp;1973-01-26;Carnlough, Northern Ireland;Northern Ireland;2019-02-27;2025-06-30;10
Jürgen Klopp;Jürgen Norbert Klopp;https://s.hs-data.com/bilder/spieler/gross/2235.jpg;base_url/resources/images/coaches_pict/premier_league/jurgen-klopp.webp;1967-06-16;Stuttgart, Germany;Germany;2015-10-08;2024-06-30;11
Pep Guardiola;Josep Guardiola Sala;https://s.hs-data.com/bilder/spieler/gross/3528.jpg;base_url/resources/images/coaches_pict/premier_league/pep-guardiola.webp;1971-01-18;Santpedor, Spain;Spain;2016-07-01;2021-06-30;12
Ole Gunnar Solskjær;Ole Gunnar Solskjær;https://s.hs-data.com/bilder/spieler/gross/2471.jpg;base_url/resources/images/coaches_pict/premier_league/ole-gunnar-solskjaer.webp;1973-11-26;Kristiansund, Norway;Norway;2019-03-28;2022-06-30;13
Steve Bruce;Stephen Roger Bruce;https://s.hs-data.com/bilder/spieler/gross/13196.jpg;base_url/resources/images/coaches_pict/premier_league/steve-bruce.webp;1960-12-31;Corbridge, England;England;2019-07-17;2022-06-30;14
Chris Wilder;Christopher John Wilder;https://s.hs-data.com/bilder/spieler/gross/92365.jpg;base_url/resources/images/coaches_pict/premier_league/chris-wilder.webp;1967-09-23;Stocksbridge, England;England;2016-05-12;2024-06-30;15
Ralph Hasenhüttl;Ralph Hasenhüttl;https://s.hs-data.com/bilder/spieler/gross/648.jpg;base_url/resources/images/coaches_pict/premier_league/ralph-hasenhuttl.webp;1967-08-09;Graz, Austria;Austria;2018-12-06;2024-06-30;16
José Mourinho;José Mário dos Santos Mourinho Félix;https://s.hs-data.com/bilder/spieler/gross/13739.jpg;base_url/resources/images/coaches_pict/premier_league/jose-mourinho.webp;1963-01-26;Setúbal, Portugal;Portugal;2019-11-20;2023-06-30;17
Slaven Bilić;Slaven Bilić;https://s.hs-data.com/bilder/spieler/gross/2975.jpg;base_url/resources/images/coaches_pict/premier_league/slaven-bilic.webp;1968-09-11;Split, Croatia;Croatia;2019-07-01;2021-06-30;18
David Moyes;David William Moyes;https://s.hs-data.com/bilder/spieler/gross/13248.jpg;base_url/resources/images/coaches_pict/premier_league/david-moyes.webp;1963-04-25;Glasgow, Scotland;Scotland;2019-12-29;2021-06-30;19
Nuno Espírito Santo;Nuno Herlander Simões Espírito Santo;https://s.hs-data.com/bilder/spieler/gross/10094.jpg;base_url/resources/images/coaches_pict/premier_league/nuno-espirito-santo.webp;1974-01-25;São Tomé, São Tomé and Príncipe;Portugal;2017-07-01;2023-06-30;20
