name;image_url_fr_internet;image_url_fr_server;date_of_birth;place_of_birth;nationality;height;prefer_position_id;position_id;team_id;shirt_number;rating
Karl Jakob Hein;https://tmssl.akamaized.net/images/foto/normal/karl-hein-fc-arsenal-1574328281-27612.jpg;base_url/resources/images/players-pict/premier-league/arsenal/karl-jakob-hein.webp;2002-04-13;Põlva, Estonia;Estonia;1.93;1;1;1;44;-
Bernd Leno;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/20180602_FIFA_Friendly_Match_Austria_vs._Germany_Bernd_Leno_850_0646.jpg/1200px-20180602_FIFA_Friendly_Match_Austria_vs._Germany_Bernd_Leno_850_0646.jpg;base_url/resources/images/players-pict/premier-league/arsenal/bernd-leno.webp;1992-03-04;Bietigheim-Bissingen, Germany;Germany;1.90;1;1;1;1;82
Matt Macey;https://upload.wikimedia.org/wikipedia/commons/1/13/Matthew_Macey_cropped.jpg;base_url/resources/images/players-pict/premier-league/arsenal/matt-macey.webp;1994-09-09;Bath, England;England;2.01;1;1;1;33;-
Rúnar Alex Rúnarsson;https://img-z.okeinfo.net/okz/500/library/images/2020/09/22/w0dn2qlvpjsx2vwwgxcn_17934.jpg;base_url/resources/images/players-pict/premier-league/arsenal/runar-alex-runarsson.webp;1995-02-18;Reykjavík, Iceland;Iceland;1.86;1;1;1;13;62
Cédric Soares;https://cdn.images.express.co.uk/img/dynamic/67/590x/secondary/Cedric-Soares-1400006.jpg;base_url/resources/images/players-pict/premier-league/arsenal/cedric-soares.webp;1991-08-31;Singen, Germany;Portugal;1.72;4;4;1;17;71
Héctor Bellerín;https://i1.wp.com/thesefootballtimes.co/wp-content/uploads/2020/04/bellerin.jpg;base_url/resources/images/players-pict/premier-league/arsenal/hector-bellerin.webp;1995-03-19;Barcelona, Spain;Spain;1.78;4;6;1;2;72
Calum Chambers;https://s.hs-data.com/bilder/spieler/gross/220092.jpg;base_url/resources/images/players-pict/premier-league/arsenal/calum-chambers.webp;1995-01-20;Petersfield, England;England;1.82;3;4;1;21;69
Gabriel;https://images2.minutemediacdn.com/image/upload/c_fill,w_720,ar_3:2,f_auto,q_auto,g_auto/shape/cover/sport/Arsenal-v-West-Ham-United---Premier-League-5a6ddd33a18efa915d2c6a981a615da1.jpg;base_url/resources/images/players-pict/premier-league/arsenal/gabriel.webp;1997-12-19;São Paulo, Brazil;Brazil;1.90;3;3;1;6;80
Rob Holding;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/1_rob_holding_2018.jpg/1200px-1_rob_holding_2018.jpg;base_url/resources/images/players-pict/premier-league/arsenal/rob-holding.webp;1995-09-20;Stalybridge, England;England;1.89;3;3;1;16;71
Sead Kolašinac;https://upload.wikimedia.org/wikipedia/commons/0/02/1_Sead_Kola%C5%A1inac_2018_%28cropped%29.jpg;base_url/resources/images/players-pict/premier-league/arsenal/sead-kolasinac.webp;1993-06-20;Karlsruhe, Germany;Bosnia and Herzegovina;1.83;2;5;1;31;76
Ainsley Maitland-Niles;https://upload.wikimedia.org/wikipedia/commons/3/35/1_Ainsley_Maitland-Niles_2018_%28cropped%29.jpg;base_url/resources/images/players-pict/premier-league/arsenal/ainsley-maitland-niles.webp;1997-08-29;Goodmayes, England;England;1.77;6;4;1;15;73
Pablo Marí;https://upload.wikimedia.org/wikipedia/commons/9/9d/PabloMari-Arsenal2020.jpg;base_url/resources/images/players-pict/premier-league/arsenal/pablo-mari.webp;1993-08-31;Almussafes, Spain;Spain;1.93;3;3;1;22;71
David Luiz;https://s.hs-data.com/bilder/spieler/gross/73764.jpg;base_url/resources/images/players-pict/premier-league/arsenal/david-luiz.webp;1987-04-22;Diadema, Brazil;Brazil;1.89;3;3;1;23;78
Shkodran Mustafi;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/1_Shkodran_Mustafi_2018_%28cropped%29.jpg/1200px-1_Shkodran_Mustafi_2018_%28cropped%29.jpg;base_url/resources/images/players-pict/premier-league/arsenal/shkodran-mustafi.webp;1992-04-17;Bad Hersfeld, Germany;Germany;1.84;3;3;1;20;82
Sokratis Papastathopoulos;https://upload.wikimedia.org/wikipedia/commons/e/e1/1_Sokratis_Papastathopoulos_%28cropped%29.jpg;base_url/resources/images/players-pict/premier-league/arsenal/sokratis-papastathopoulos.webp;1988-06-09;Kalamata, Greece;Greece;1.86;3;3;1;5;72
William Saliba;https://talksport.com/wp-content/uploads/sites/5/2020/07/GettyImages-1174461975.jpg;base_url/resources/images/players-pict/premier-league/arsenal/william-saliba.webp;2001-03-24;Bondy, France;France;1.92;3;3;1;4;69
Kieran Tierney;https://ligacdn.com/storage/images/news/2020/03/20/cedera-di-arsenal-jadi-masa-tersulit-sepanjang-karier-kieran-tierney.jpeg;base_url/resources/images/players-pict/premier-league/arsenal/kieran-tierney.webp;1997-06-05;Douglas, Isle of Man;Scotland;1.78;2;5;1;3;79
Mohamed El Neny;https://upload.wikimedia.org/wikipedia/commons/6/6f/Mohamed_Elneny_2018.jpg;base_url/resources/images/players-pict/premier-league/arsenal/mohamed-el-neny.webp;1992-07-11;El Mahalla El Kubra, Egypt;Egypt;1.80;8;10;1;25;79
Dani Ceballos;https://akcdn.detik.net.id/community/media/visual/2020/08/03/dani-ceballos.jpeg?w=700&q=80;base_url/resources/images/players-pict/premier-league/arsenal/dani-ceballos.webp;1996-08-07;Utrera, Spain;Spain;1.80;10;12;1;8;80
Thomas Partey;https://i2-prod.football.london/incoming/article19204035.ece/ALTERNATES/s1200c/0_Thomas-Partey.jpg;base_url/resources/images/players-pict/premier-league/arsenal/thomas-partey.webp;1993-06-13;Krobo Odumase, Ghana;Ghana;1.85;10;10;1;18;85
Granit Xhaka;https://i2.wp.com/metro.co.uk/wp-content/uploads/2019/10/GettyImages-11822631134.jpg;base_url/resources/images/players-pict/premier-league/arsenal/granit-xhaka.webp;1992-09-27;Basel, Switzerland;Switzerland;1.85;8;10;1;34;81
Bukayo Saka;https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1582246778/c0hukiypkoatpp3qpexw.jpg;base_url/resources/images/players-pict/premier-league/arsenal/bukayo-saka.webp;2001-09-05;Ealing, England;England;1.78;9;5;1;7;77
Mesut Özil;https://upload.wikimedia.org/wikipedia/commons/1/12/Mesut_%C3%96zil_at_Baku_before_2019_UEFA_Europe_League_Final.jpg;base_url/resources/images/players-pict/premier-league/arsenal/mesut-ozil.webp;1988-10-15;Gelsenkirchen, Germany;Germany;1.80;12;14;1;10;69
Nicolas Pépé;https://ligacdn.com/storage/images/news/2020/02/15/mikel-arteta-yakinkan-fans-soal-performa-nicolas-pepe.jpeg;base_url/resources/images/players-pict/premier-league/arsenal/nicolas-pepe.webp;1995-05-29;Mantes-la-Jolie, France;France;1.83;11;14;1;19;79
Emile Smith Rowe;https://www.thesun.co.uk/wp-content/uploads/2019/07/NINTCHDBPICT000503482920-1-e1562697857185.jpg;base_url/resources/images/players-pict/premier-league/arsenal/emile-smith-rowe.webp;2000-07-28;Croydon, England;England;1.82;12;14;1;32;64
Joe Willock;https://www.thesun.co.uk/wp-content/uploads/2019/01/NINTCHDBPICT000461853036-e1548538882829.jpg;base_url/resources/images/players-pict/premier-league/arsenal/joe-willock.webp;1999-08-20;Waltham Forest, England;England;1.86;12;10;1;28;69
Willian;https://s.hs-data.com/bilder/spieler/gross/70412.jpg;base_url/resources/images/players-pict/premier-league/arsenal/willian.webp;1988-08-09;Ribeirão Pires, Brazil;Brazil;1.75;14;13;1;12;85
Folarin Balogun;https://i2-prod.football.london/incoming/article18510089.ece/ALTERNATES/s1200c/1_GettyImages-1206951269.jpg;base_url/resources/images/players-pict/premier-league/arsenal/folarin-balogun.webp;2001-07-03;New York, United States;England;1.78;18;18;1;-;-
Alexandre Lacazette;https://upload.wikimedia.org/wikipedia/commons/d/da/Alexandre_Lacazette_at_Baku_before_2019_UEFA_Europe_League_Final.jpg;base_url/resources/images/players-pict/premier-league/arsenal/alexandre-lacazette.webp;1991-05-28;Lyon, France;France;1.75;18;18;1;9;78
